DATE,OPEN,HIGH,LOW,CLOSING PRICE,VOLUME
12/10/2018,26537,26614,25884,25961,6443420
12/7/2018,26845,26922,26576,26653,3363510
12/6/2018,26999,27230,26537,26614,4632240
12/5/2018,26422,27307,26345,27153,8092180
12/4/2018,26922,27076,26345,26614,4310860
12/3/2018,26153,26922,26153,26768,4698640
11/30/2018,26153,26153,25537,25537,7491520
11/29/2018,27230,27422,26307,26307,4389480
11/28/2018,27460,27576,26884,27076,4490120
11/27/2018,27537,27845,27384,27384,2696200
11/26/2018,27384,27845,27345,27384,2837200
11/23/2018,27537,27691,27307,27345,2169640
11/22/2018,28153,28268,27537,27537,3591490
11/21/2018,27730,28307,27691,28076,3805730
11/20/2018,27384,28191,27230,28076,6662000
11/19/2018,27307,27537,27037,27268,1829759
11/16/2018,27307,27460,26960,27076,2381900
11/15/2018,27307,27653,26730,26922,6829060
11/14/2018,28345,28345,27114,27537,8484380
11/13/2018,28460,28652,28268,28345,6283030
11/12/2018,28922,29037,28576,28883,3043560
11/9/2018,29691,29883,28922,28922,7621440
11/8/2018,30653,30653,29922,29922,2916800
11/7/2018,30460,30614,30114,30114,3559230
11/6/2018,30845,30883,30460,30460,1835970
11/5/2018,30460,30768,30383,30768,3782480
11/2/2018,30768,30883,30614,30768,3595700
11/1/2018,30691,30730,30306,30460,2241010
10/31/2018,30076,30960,30037,30960,8918730
10/30/2018,29691,30268,29691,29768,2685010
10/29/2018,29730,29922,29691,29883,4460930
10/26/2018,30230,30460,29922,29922,5147210
10/25/2018,29230,30114,29114,29999,7241940
10/24/2018,30153,30691,30153,30153,5213790
10/23/2018,30730,30730,29922,30383,10182340
10/22/2018,31383,31499,30845,30845,2565350
10/19/2018,31306,31576,31076,31345,4992750
10/18/2018,31537,31653,31306,31537,4084530
10/17/2018,31691,31730,31422,31537,6199430
10/16/2018,31037,31345,31037,31345,3008510
10/15/2018,31306,31306,30922,31037,4218380
10/12/2018,30306,31383,30306,31383,7889210
10/11/2018,30845,31230,30230,30691,15991110
10/10/2018,31614,32114,31499,31845,7431140
10/9/2018,31922,31922,31537,31537,4696390
10/8/2018,31691,31883,31576,31691,4340940
10/5/2018,31845,32229,31691,31883,11688270
10/4/2018,31691,31845,31460,31845,11906470
10/3/2018,31537,31999,31537,31768,5411960
10/2/2018,32114,32345,31653,31768,10602070
10/1/2018,32537,33037,32345,32614,6816120
9/28/2018,31999,32576,31922,32537,9639300
9/27/2018,31691,31999,31614,31960,5592570
9/26/2018,31730,31883,31537,31537,5014340
9/25/2018,31537,31845,31422,31730,4626220
9/24/2018,32076,32076,31614,31768,4430010
9/21/2018,31537,31845,31268,31768,14273500
9/20/2018,30691,31460,30537,31460,9974190
9/19/2018,30614,30691,30460,30499,5289040
9/18/2018,30153,30345,29845,30345,8400830
9/17/2018,30230,30499,30114,30345,2372700
9/14/2018,30614,30806,30383,30383,4652530
9/13/2018,30537,30960,30383,30576,6446230
9/12/2018,30845,30960,30383,30383,5718520
9/11/2018,30037,30922,30037,30768,7742510
9/10/2018,30499,30614,30153,30153,2698640
9/7/2018,29691,30614,29691,30537,5707420
9/6/2018,29691,30153,29614,29730,5383080
9/5/2018,29845,30191,29614,29691,4632970
9/4/2018,30537,30691,29999,29999,4474530
8/31/2018,30614,31037,30460,30730,6434410
8/30/2018,30460,30614,30114,30499,7495830
8/29/2018,30768,31268,30460,30460,6878210
8/28/2018,29999,30922,29999,30691,11013110
8/27/2018,29691,30230,29614,29960,5850600
8/24/2018,29230,29537,29076,29499,5677060
8/23/2018,29153,29499,29153,29307,3848180
8/22/2018,28922,29537,28807,29230,6668760
8/21/2018,28537,28845,28499,28845,3423060
8/20/2018,28999,28999,28576,28653,3542590
8/17/2018,29153,29383,28807,28999,3745240
8/16/2018,28460,28999,28422,28845,6993170
8/15/2018,29614,29807,28691,28845,4685310
8/14/2018,29614,29922,29422,29614,5313160
8/13/2018,28383,29499,28230,29460,11400140
8/10/2018,28037,28537,28037,28460,4972360
8/9/2018,28383,28614,28076,28114,5360350
8/8/2018,27845,28345,27768,28230,3891350
8/7/2018,27807,27807,27537,27807,5706190
8/6/2018,27960,27960,27384,27807,4791830
8/3/2018,28845,28883,27922,27922,5949600
8/2/2018,28845,28845,28076,28653,6073010
8/1/2018,28768,29345,28691,28922,7008830
7/31/2018,28383,28960,28114,28730,6094660
7/30/2018,28922,29076,28383,28499,6039970
7/27/2018,28268,28730,27960,28691,5661360
7/26/2018,27307,28076,27230,28076,8446850
7/25/2018,27230,27537,27076,27307,5722050
7/24/2018,28383,28422,26999,27230,12245700
7/23/2018,28537,28922,28153,28422,5617420
7/20/2018,28307,28460,27884,28230,4976130
7/19/2018,28807,29037,28537,28614,4014150
7/18/2018,27922,28730,27768,28614,8330670
7/17/2018,26922,27807,26922,27768,3378710
7/16/2018,27768,27884,27191,27307,5329260
7/13/2018,26307,27422,26191,27384,4729750
7/12/2018,25614,26268,25537,25961,3327390
7/11/2018,26845,27230,25999,26460,7678880
7/10/2018,27307,27768,27307,27307,4743470
7/9/2018,28845,28845,27230,27460,3847250
7/6/2018,27730,29076,27076,28307,5567580
7/5/2018,28537,28845,27537,27768,4996120
7/4/2018,28307,28807,27845,28537,3769000
7/3/2018,29537,29845,27922,27922,6523250
7/2/2018,29230,29614,28460,29537,6385040
6/29/2018,29845,30153,29191,29537,5362230
6/28/2018,29845,30614,29691,29883,4582840
6/27/2018,31460,31653,30383,30383,3424170
6/26/2018,31230,31653,30768,31614,3122780
6/25/2018,32306,32422,31576,31922,4064240
6/22/2018,29999,31499,29845,31499,7251238
6/21/2018,30730,30730,29999,30191,3879280
6/20/2018,29999,30768,29076,30768,5767930
6/19/2018,29845,30383,28845,29499,13185240
6/18/2018,32845,32845,30922,30922,7908980
6/15/2018,32691,33076,32153,33076,4820810
6/14/2018,33691,34191,32729,32768,6574380
6/13/2018,32614,33537,32537,33383,4326430
6/12/2018,34076,34076,32076,32691,10831890
6/11/2018,33516,33900,33241,33296,8191000
6/8/2018,34065,34065,33626,33681,3690330
6/7/2018,33516,34285,33406,34010,6456510
6/6/2018,32527,33516,32142,33406,6563330
6/5/2018,32966,33076,32142,32417,6122250
6/4/2018,31813,32966,31483,32966,6455450
6/1/2018,31043,31538,30824,31318,7193770
5/31/2018,29065,30824,29010,30824,10225770
5/30/2018,28626,29340,27966,29010,6303310
5/29/2018,26758,28626,26758,28571,5232880
5/28/2018,27802,28571,26758,26758,5307490
5/25/2018,28791,29285,28461,28626,6221460
5/24/2018,28571,28791,28351,28791,3890040
5/23/2018,27637,28571,27637,28406,3391430
5/22/2018,29065,29120,27747,27747,6361030
5/21/2018,29944,29999,29230,29230,2606300
5/18/2018,29230,29615,28846,29615,4143020
5/17/2018,29670,29780,29010,29120,4117510
5/16/2018,30274,30879,29615,29670,3144190
5/15/2018,30714,30879,30329,30439,2682800
5/14/2018,30824,30933,30219,30659,2961980
5/11/2018,29999,30659,29944,30604,2728770
5/10/2018,31153,31263,30219,30329,2728190
5/9/2018,31208,31593,30824,31318,2356460
5/8/2018,30714,31813,30329,31318,5489060
5/7/2018,29890,30769,29615,30769,4083870
5/4/2018,30109,30384,29615,29670,8624670
5/3/2018,29835,29944,29340,29835,6693700
5/2/2018,29890,30439,29285,29890,4428930
4/27/2018,29395,29670,28461,29560,5135100
4/26/2018,30769,31208,29175,29395,4816560
4/24/2018,30494,31263,30219,30769,3808590
4/23/2018,32362,32362,30494,30549,2862400
4/20/2018,31318,32307,30879,32307,3297740
4/19/2018,32197,32472,31318,31318,5118490
4/18/2018,32911,33076,32417,32417,2757790
4/17/2018,33186,33186,32417,32802,3652180
4/16/2018,33241,33516,33021,33021,2308130
4/13/2018,34065,34120,33461,33626,3303780
