DATE,OPEN,HIGH,LOW,CLOSING PRICE,VOLUME
1/9/2020,114300,115100,114200,114700,313870
1/8/2020,114500,114700,113600,114300,468910
1/7/2020,114500,115000,114300,114700,183910
1/6/2020,115000,115000,114400,114500,301910
1/3/2020,115000,115300,114300,115300,248940
1/2/2020,114900,115000,114000,115000,440280
1/2/2020,114900,115000,114000,115000,440280
12/30/2019,114500,115000,114200,115000,504080
12/30/2019,114500,115000,114200,115000,504080
12/27/2019,115400,115400,114000,115200,1169670
12/26/2019,115300,115700,114400,115400,507390
12/25/2019,115300,115500,114300,115500,348350
12/24/2019,115600,115600,114300,115500,449960
12/23/2019,115800,115800,114300,115700,591380
12/20/2019,115800,115800,114700,115800,1940840
12/19/2019,115000,116000,114000,115800,1225800
12/18/2019,115000,115900,114500,115800,962100
12/17/2019,115800,115800,114500,115800,427390
12/16/2019,116000,116000,114800,115800,864080
12/13/2019,115800,116000,114900,116000,295370
12/12/2019,116000,116000,115200,116000,334050
12/11/2019,115900,115900,114500,115900,301370
12/10/2019,115500,115900,113600,115900,575810
12/9/2019,115800,115900,115000,115900,188330
12/6/2019,116000,116300,115400,115900,144740
12/5/2019,116000,116100,115500,115800,368750
12/4/2019,114200,115500,114200,115500,239900
12/3/2019,115000,116300,114200,115000,875130
12/2/2019,115500,116300,113800,115000,300040
11/29/2019,115700,116100,114500,115700,1190315
11/28/2019,115100,116000,114300,115700,332980
11/27/2019,115200,116300,115100,115600,304630
11/26/2019,116000,116000,115100,115200,1027110
11/25/2019,116200,116200,115500,116000,234180
11/22/2019,116200,116900,115300,116200,308940
11/21/2019,117000,117000,113800,115300,1567980
11/20/2019,117200,117200,116000,116000,705410
11/19/2019,118000,118200,116800,117100,491510
11/18/2019,119800,119800,117900,118100,717820
11/15/2019,119200,120800,118800,119600,258410
11/14/2019,119000,119800,118800,119300,250100
11/13/2019,118900,119400,118400,119000,891190
11/12/2019,118900,119900,118600,119400,633520
11/11/2019,120500,120500,118900,118900,281300
11/8/2019,121600,121600,120000,120500,512950
11/7/2019,122000,122300,120800,120800,246740
11/6/2019,121500,122500,121000,121900,723800
11/5/2019,121000,122000,120900,121500,280520
11/4/2019,122500,122500,120700,121700,309680
11/1/2019,120000,122500,119500,122500,749070
10/31/2019,120000,120400,119000,119000,840720
10/30/2019,118000,119900,117800,119600,600930
10/29/2019,117700,117900,117400,117800,232100
10/28/2019,117000,118100,116700,117700,268360
10/25/2019,117000,117400,116700,117200,480960
10/24/2019,117100,117200,116500,117200,932110
10/23/2019,116800,117500,116800,117100,130200
10/22/2019,118000,118000,116800,116800,175690
10/21/2019,117000,118300,116000,116900,205580
10/18/2019,117000,117000,116500,117000,369180
10/17/2019,117900,118500,116900,117000,479110
10/16/2019,119000,119000,117700,118000,972080
10/16/2019,119000,119000,117700,118000,972080
10/15/2019,118000,119300,118000,118400,1022070
10/15/2019,118000,119300,118000,118400,1022070
10/14/2019,118500,119800,117500,118000,378150
10/11/2019,117500,118000,116700,118000,928950
10/10/2019,117500,117700,116800,116900,973470
10/9/2019,116900,118300,116700,117000,542530
10/8/2019,117200,117300,116400,117100,353740
10/7/2019,118000,118100,116500,117000,592120
10/4/2019,118000,118700,117700,118000,292050
10/3/2019,117200,118000,117100,118000,650460
10/2/2019,119900,120500,118000,118000,545260
10/1/2019,120500,120900,119700,119900,151960
9/30/2019,120000,121200,119600,119800,308680
9/27/2019,119000,120300,118800,119800,264300
9/26/2019,120000,120000,118800,119000,334000
9/25/2019,120100,120300,119000,119700,256590
9/24/2019,119000,120400,119000,120100,582660
9/23/2019,119500,120400,118900,119100,457600
9/20/2019,121400,121900,119400,119400,1827050
9/19/2019,122500,122800,121400,121500,345240
9/18/2019,122500,122800,122100,122200,181830
9/17/2019,122100,123800,122000,122800,416830
9/16/2019,122000,124700,122000,122800,330670
9/13/2019,122100,122900,120800,122400,1692440
9/12/2019,121500,122100,121300,121500,188180
9/11/2019,122000,122800,121000,121500,226620
9/10/2019,123000,123200,122000,122000,247180
9/9/2019,121900,122800,121100,122600,165730
9/6/2019,122000,123000,121000,121100,280330
9/5/2019,122900,123400,122000,122000,303110
9/4/2019,123000,123500,121700,122400,443500
9/3/2019,123500,124400,122200,123000,308400
8/30/2019,122500,123900,122000,123500,220710
8/29/2019,123500,123500,121100,122500,376320
8/28/2019,122200,123500,121900,122000,242730
8/27/2019,124900,125700,122500,122500,423120
8/26/2019,125000,125000,123400,124800,355930
8/23/2019,126100,126100,124600,125000,590250
8/22/2019,123000,126500,122700,126100,697830
8/21/2019,121000,122500,121000,122400,252820
8/20/2019,121900,122500,121000,121000,206540
8/19/2019,122500,122500,121500,121900,8211950
8/16/2019,119600,122300,119600,122000,424960
8/15/2019,117000,121000,117000,121000,327120
8/14/2019,119500,120000,118200,118600,341500
8/13/2019,119900,120000,118000,118100,310330
8/12/2019,120200,121200,120000,120000,811120
8/9/2019,122000,122500,120200,120200,4719545
8/8/2019,118000,122500,118000,122000,5907617
8/7/2019,119800,120200,117600,118000,2845950
8/6/2019,116000,119800,115500,119800,3415784
8/5/2019,122100,122100,118000,118000,3791680
8/2/2019,122000,123100,121900,122500,3533120
8/1/2019,123000,124500,122500,124400,365850
